时间戳,WT1仿真可用出力（MW）,WT2仿真可用出力（MW）,WT3仿真可用出力（MW）,WT4仿真可用出力（MW）,WT5仿真可用出力（MW）,WT6仿真可用出力（MW）
2024-01-24 00:00:00,57.71,0.00,162.74,6.17,48.63,0.00
2024-01-24 00:15:00,59.22,0.00,184.43,17.96,27.45,0.00
2024-01-24 00:30:00,53.78,0.00,205.55,66.23,33.34,0.00
2024-01-24 00:45:00,87.31,12.61,175.93,71.84,21.96,2.30
2024-01-24 01:00:00,145.93,0.00,204.08,35.36,1.96,4.98
2024-01-24 01:15:00,267.98,0.00,234.57,61.18,18.83,0.00
2024-01-24 01:30:00,165.87,0.45,238.68,71.28,21.18,0.00
2024-01-24 01:45:00,80.06,0.00,199.68,92.61,14.90,0.00
2024-01-24 02:00:00,25.38,0.00,174.17,49.95,47.46,0.00
2024-01-24 02:15:00,42.60,0.00,173.29,66.23,31.77,0.00
2024-01-24 02:30:00,35.05,0.00,119.34,75.21,50.60,0.00
2024-01-24 02:45:00,29.31,0.00,87.38,69.60,45.89,0.00
2024-01-24 03:00:00,37.77,0.00,165.37,54.44,67.07,0.38
2024-01-24 03:15:00,29.00,0.00,214.93,61.74,77.66,54.45
2024-01-24 03:30:00,40.18,0.00,451.26,54.44,187.48,51.76
2024-01-24 03:45:00,31.72,0.00,282.08,45.46,94.92,33.36
2024-01-24 04:00:00,14.20,0.00,397.60,57.25,48.63,21.47
2024-01-24 04:15:00,21.15,0.00,459.77,39.29,14.12,69.02
2024-01-24 04:30:00,40.48,0.00,466.80,63.42,41.97,13.80
2024-01-24 04:45:00,57.40,4.05,484.40,44.34,223.17,0.00
2024-01-24 05:00:00,55.29,1.35,481.17,55.00,229.05,15.34
2024-01-24 05:15:00,57.40,0.00,479.70,49.95,399.27,21.47
2024-01-24 05:30:00,84.59,0.00,445.40,43.78,244.35,0.00
2024-01-24 05:45:00,69.79,0.00,422.82,44.34,96.09,0.00
2024-01-24 06:00:00,51.97,0.00,326.06,34.80,79.62,0.00
2024-01-24 06:15:00,90.94,0.00,261.84,41.53,213.36,0.00
2024-01-24 06:30:00,60.12,0.00,270.64,46.59,143.16,0.00
2024-01-24 06:45:00,51.97,0.00,290.29,38.73,72.56,21.09
2024-01-24 07:00:00,53.17,0.00,280.02,26.38,55.30,0.00
2024-01-24 07:15:00,39.88,0.00,248.94,27.50,115.31,0.00
2024-01-24 07:30:00,27.80,0.00,252.17,17.40,96.09,11.50
2024-01-24 07:45:00,19.34,0.00,187.66,9.54,150.22,89.34
2024-01-24 08:00:00,14.20,0.00,138.40,8.98,196.11,81.29
2024-01-24 08:15:00,14.80,0.00,100.57,12.35,76.87,79.37
2024-01-24 08:30:00,20.54,0.00,88.26,22.45,14.12,39.11
2024-01-24 08:45:00,12.69,0.00,59.52,35.92,15.69,4.98
2024-01-24 09:00:00,9.06,6.31,66.85,79.14,0.00,56.75
2024-01-24 09:15:00,5.74,4.05,85.03,55.57,3.14,75.15
2024-01-24 09:30:00,11.48,2.25,89.14,39.85,0.39,64.03
2024-01-24 09:45:00,0.30,1.80,116.11,61.18,0.78,50.23
2024-01-24 10:00:00,4.83,0.00,112.60,89.24,0.00,19.55
2024-01-24 10:15:00,20.54,0.00,120.81,69.04,28.63,7.29
2024-01-24 10:30:00,28.70,0.00,48.67,106.08,10.20,9.97
2024-01-24 10:45:00,12.99,0.00,67.15,106.64,27.85,55.60
2024-01-24 11:00:00,0.30,0.00,80.93,126.29,46.28,0.00
2024-01-24 11:15:00,0.30,0.00,42.81,121.24,21.96,0.00
2024-01-24 11:30:00,0.30,0.00,24.34,104.40,10.59,0.00
2024-01-24 11:45:00,0.30,0.00,14.95,175.68,17.26,0.00
2024-01-24 12:00:00,0.30,0.00,2.05,244.15,13.73,0.00
2024-01-24 12:15:00,0.30,0.00,0.00,170.63,3.14,0.00
2024-01-24 12:30:00,0.30,0.00,0.59,154.35,0.00,0.00
2024-01-24 12:45:00,0.30,0.00,7.62,186.34,0.00,0.00
2024-01-24 13:00:00,0.30,0.00,15.83,205.43,0.00,0.00
2024-01-24 13:15:00,0.30,0.00,6.16,179.61,0.00,0.00
2024-01-24 13:30:00,0.30,0.00,5.28,176.80,0.00,0.00
2024-01-24 13:45:00,0.30,0.00,0.59,162.77,0.00,0.00
2024-01-24 14:00:00,0.30,0.00,5.57,199.25,0.00,0.00
2024-01-24 14:15:00,0.30,2.70,0.00,179.61,0.00,0.00
2024-01-24 14:30:00,0.30,12.61,0.00,158.84,0.00,0.00
2024-01-24 14:45:00,0.30,13.51,0.00,187.47,0.39,0.00
2024-01-24 15:00:00,3.63,13.06,0.00,151.54,0.00,0.00
2024-01-24 15:15:00,5.14,14.41,0.00,78.58,0.00,0.00
2024-01-24 15:30:00,0.30,24.32,0.00,67.35,0.00,0.00
2024-01-24 15:45:00,0.30,34.23,5.86,32.55,0.00,0.00
2024-01-24 16:00:00,0.30,30.63,6.16,15.72,0.00,0.00
2024-01-24 16:15:00,0.30,46.85,3.81,369.32,0.00,0.00
2024-01-24 16:30:00,0.30,60.36,1.47,397.38,0.00,0.00
2024-01-24 16:45:00,0.30,41.89,2.05,355.85,0.00,0.00
2024-01-24 17:00:00,0.30,22.07,0.59,309.82,0.00,0.00
2024-01-24 17:15:00,0.30,4.05,0.00,194.76,0.00,0.00
2024-01-24 17:30:00,0.30,0.00,0.00,92.05,0.00,0.00
2024-01-24 17:45:00,0.30,0.00,0.00,57.25,0.00,0.00
2024-01-24 18:00:00,16.92,0.00,0.00,34.24,0.00,0.00
2024-01-24 18:15:00,3.32,7.66,0.00,59.50,0.00,0.00
2024-01-24 18:30:00,38.97,13.06,4.11,74.65,0.00,0.00
2024-01-24 18:45:00,50.76,12.61,9.97,100.47,5.10,0.00
2024-01-24 19:00:00,42.30,34.68,1.76,158.84,11.77,0.00
2024-01-24 19:15:00,11.48,27.93,0.00,131.90,0.00,22.62
2024-01-24 19:30:00,25.38,15.32,0.00,125.16,9.81,16.87
2024-01-24 19:45:00,35.35,25.68,0.00,169.50,11.37,78.98
2024-01-24 20:00:00,29.91,43.24,0.00,176.24,0.00,75.92
2024-01-24 20:15:00,37.16,43.69,0.00,218.34,0.00,14.95
2024-01-24 20:30:00,46.53,27.48,0.00,195.32,0.00,0.00
2024-01-24 20:45:00,34.14,42.79,9.38,124.60,0.00,15.34
2024-01-24 21:00:00,10.88,78.83,48.38,72.97,0.00,0.00
2024-01-24 21:15:00,17.22,122.97,41.64,102.15,0.00,0.00
2024-01-24 21:30:00,12.39,151.35,36.65,158.84,0.00,0.00
2024-01-24 21:45:00,11.78,122.97,17.59,290.18,0.00,0.00
2024-01-24 22:00:00,25.08,94.14,24.04,268.85,0.00,0.00
2024-01-24 22:15:00,20.54,95.95,32.55,280.64,16.08,0.00
2024-01-24 22:30:00,6.65,89.64,42.52,317.12,92.17,0.00
2024-01-24 22:45:00,9.67,45.95,58.64,428.81,75.70,0.00
2024-01-24 23:00:00,12.08,43.69,58.35,390.09,32.16,0.00
2024-01-24 23:15:00,5.74,58.56,39.00,372.69,9.41,0.00
2024-01-24 23:30:00,16.92,113.06,31.08,344.62,9.81,0.00
2024-01-24 23:45:00,18.13,161.26,30.20,295.79,5.10,0.00
2024-01-25 00:00:00,0.30,213.96,35.48,364.83,27.85,0.00
2024-01-25 00:15:00,0.30,203.60,24.34,285.69,25.89,0.00
2024-01-25 00:30:00,0.30,273.87,141.92,284.57,23.92,0.00
2024-01-25 00:45:00,0.30,306.76,214.64,312.07,0.00,0.00
2024-01-25 01:00:00,0.30,313.51,255.69,318.80,0.78,0.00
2024-01-25 01:15:00,0.30,297.30,259.20,277.27,0.00,0.00
2024-01-25 01:30:00,0.91,360.81,280.02,237.42,0.00,0.00
2024-01-25 01:45:00,0.30,437.39,317.85,253.13,12.94,0.00
2024-01-25 02:00:00,44.41,461.71,355.09,341.25,120.80,0.00
2024-01-25 02:15:00,39.58,429.28,302.60,285.69,3.92,0.00
2024-01-25 02:30:00,79.76,358.11,299.38,280.64,17.65,0.00
2024-01-25 02:45:00,90.03,333.78,296.15,285.13,75.30,0.00
2024-01-25 03:00:00,100.91,309.46,277.09,209.92,254.94,0.00
2024-01-25 03:15:00,102.72,268.02,283.25,162.77,117.66,0.00
2024-01-25 03:30:00,71.00,242.79,205.25,158.28,69.81,0.00
2024-01-25 03:45:00,59.22,212.16,170.95,163.33,51.38,0.00
2024-01-25 04:00:00,61.33,201.35,221.67,122.92,58.83,0.00
2024-01-25 04:15:00,37.46,181.98,215.81,29.19,71.38,0.00
2024-01-25 04:30:00,30.82,138.74,250.41,0.00,78.05,0.00
2024-01-25 04:45:00,30.21,98.65,210.82,5.61,63.54,0.00
2024-01-25 05:00:00,27.19,95.95,232.82,43.22,36.48,0.00
2024-01-25 05:15:00,24.77,73.87,322.83,138.07,51.77,0.00
2024-01-25 05:30:00,15.41,63.06,288.23,149.86,54.13,0.00
2024-01-25 05:45:00,38.97,73.42,307.29,170.63,33.73,0.00
2024-01-25 06:00:00,57.40,67.12,240.44,138.07,18.04,0.00
2024-01-25 06:15:00,94.87,74.77,229.00,98.22,35.69,0.00
2024-01-25 06:30:00,110.27,87.39,162.15,92.05,67.46,0.00
2024-01-25 06:45:00,100.61,79.73,113.48,61.74,67.07,6.52
2024-01-25 07:00:00,38.37,63.06,126.08,74.09,69.81,0.00
2024-01-25 07:15:00,65.86,54.50,128.72,88.68,81.97,0.00
2024-01-25 07:30:00,53.78,45.05,165.37,74.65,88.25,0.00
2024-01-25 07:45:00,32.03,52.70,175.05,52.20,81.19,0.00
2024-01-25 08:00:00,0.30,81.98,55.71,34.80,79.23,0.00
2024-01-25 08:15:00,0.30,77.03,43.98,47.15,83.15,0.00
2024-01-25 08:30:00,3.02,59.01,41.64,17.40,120.41,0.00
2024-01-25 08:45:00,1.21,43.24,58.06,29.75,89.42,0.00
2024-01-25 09:00:00,0.30,13.51,46.04,17.40,65.11,0.00
2024-01-25 09:15:00,0.30,2.70,25.22,7.30,50.60,0.00
2024-01-25 09:30:00,0.30,0.00,34.01,0.00,61.97,0.00
2024-01-25 09:45:00,0.30,0.00,31.96,0.00,68.64,0.00
2024-01-25 10:00:00,0.30,0.45,19.94,0.00,81.58,0.00
2024-01-25 10:15:00,0.30,0.00,11.73,7.86,50.99,0.00
2024-01-25 10:30:00,0.30,0.00,21.70,0.00,33.34,0.00
2024-01-25 10:45:00,0.30,0.00,42.81,0.00,41.97,0.00
2024-01-25 11:00:00,2.11,4.50,34.89,0.00,16.87,0.00
2024-01-25 11:15:00,7.86,2.25,36.07,0.00,12.94,0.00
2024-01-25 11:30:00,0.30,0.00,11.14,0.00,0.00,0.00
2024-01-25 11:45:00,0.30,0.00,6.45,0.00,0.00,0.00
2024-01-25 12:00:00,0.30,0.00,7.04,0.00,0.00,0.00
2024-01-25 12:15:00,9.67,0.00,2.05,0.00,0.00,0.00
2024-01-25 12:30:00,11.78,0.00,1.17,0.00,1.18,0.00
2024-01-25 12:45:00,19.03,0.00,15.54,0.00,0.00,0.00
2024-01-25 13:00:00,59.52,0.00,28.15,0.00,0.00,0.00
2024-01-25 13:15:00,71.60,0.00,31.37,0.00,0.00,0.00
2024-01-25 13:30:00,105.44,0.00,33.43,0.00,0.00,0.00
2024-01-25 13:45:00,109.97,0.00,30.79,0.00,0.00,10.74
2024-01-25 14:00:00,126.59,0.00,21.40,0.00,0.00,0.00
2024-01-25 14:15:00,124.17,0.00,22.28,0.00,1.96,0.00
2024-01-25 14:30:00,105.44,0.00,46.33,0.00,7.06,0.00
2024-01-25 14:45:00,158.92,0.00,73.89,0.00,14.12,0.00
2024-01-25 15:00:00,148.95,0.00,89.43,0.00,20.39,4.22
2024-01-25 15:15:00,102.12,0.00,80.63,5.61,10.59,31.06
2024-01-25 15:30:00,109.37,0.00,64.51,15.15,5.10,27.99
2024-01-25 15:45:00,119.04,0.00,65.97,16.28,0.00,18.40
2024-01-25 16:00:00,90.94,0.45,51.31,13.47,0.00,21.47
2024-01-25 16:15:00,98.79,10.36,51.02,19.08,0.00,18.79
2024-01-25 16:30:00,100.61,29.73,54.54,24.13,0.00,0.38
2024-01-25 16:45:00,100.61,56.76,56.88,14.03,0.00,0.00
2024-01-25 17:00:00,124.47,84.68,32.55,23.57,0.00,0.00
2024-01-25 17:15:00,148.64,87.39,30.79,37.61,0.00,0.00
2024-01-25 17:30:00,180.67,81.98,28.74,18.52,0.00,0.00
2024-01-25 17:45:00,183.39,67.12,31.67,40.41,0.00,0.00
2024-01-25 18:00:00,134.44,71.62,18.47,52.20,0.00,0.00
2024-01-25 18:15:00,132.63,192.79,23.75,77.46,0.00,0.00
2024-01-25 18:30:00,149.25,200.00,26.68,197.01,0.00,0.00
2024-01-25 18:45:00,115.71,184.23,19.94,267.17,0.00,0.00
2024-01-25 19:00:00,86.41,250.90,24.92,225.63,0.00,0.00
2024-01-25 19:15:00,69.79,264.41,36.65,269.97,0.00,0.00
2024-01-25 19:30:00,56.19,359.46,43.98,233.49,0.00,0.00
2024-01-25 19:45:00,42.00,412.61,46.04,141.44,0.00,15.72
2024-01-25 20:00:00,50.15,503.15,35.19,137.51,0.00,26.07
2024-01-25 20:15:00,48.64,566.22,26.39,115.06,0.39,14.19
2024-01-25 20:30:00,52.57,540.99,22.87,171.19,1.18,23.77
2024-01-25 20:45:00,44.41,541.44,14.07,147.62,10.98,66.33
2024-01-25 21:00:00,60.12,545.05,19.06,254.82,7.06,90.10
2024-01-25 21:15:00,42.00,545.05,19.65,328.91,11.37,129.21
2024-01-25 21:30:00,47.43,437.39,25.22,341.25,16.87,221.23
2024-01-25 21:45:00,74.93,533.78,32.55,295.23,0.00,292.17
2024-01-25 22:00:00,116.32,563.06,38.70,220.58,0.00,356.20
2024-01-25 22:15:00,145.02,527.03,31.96,323.29,0.00,449.37
2024-01-25 22:30:00,91.85,531.08,43.69,323.86,12.16,488.10
2024-01-25 22:45:00,58.91,502.70,46.62,385.03,20.79,429.82
2024-01-25 23:00:00,36.86,527.03,61.87,423.20,12.16,325.14
2024-01-25 23:15:00,28.40,433.33,87.09,408.05,32.16,296.39
2024-01-25 23:30:00,32.93,344.14,63.04,446.21,4.71,335.11
2024-01-25 23:45:00,28.10,292.34,68.61,470.35,13.34,392.62
2024-01-26 00:00:00,22.05,365.32,71.55,449.58,0.00,431.73
2024-01-26 00:15:00,38.07,181.53,80.93,461.93,0.00,433.65
2024-01-26 00:30:00,55.29,170.72,66.56,408.61,0.00,389.94
2024-01-26 00:45:00,80.97,196.85,45.45,328.35,0.00,399.14
2024-01-26 01:00:00,87.31,204.50,21.40,249.77,0.00,348.91
2024-01-26 01:15:00,104.84,202.70,128.72,234.61,0.00,262.26
2024-01-26 01:30:00,140.49,256.31,123.44,158.28,0.00,294.47
2024-01-26 01:45:00,197.89,219.82,273.57,183.54,0.00,296.77
2024-01-26 02:00:00,201.52,177.03,139.86,151.54,0.00,278.36
2024-01-26 02:15:00,209.37,179.73,61.28,142.00,0.00,296.00
2024-01-26 02:30:00,245.93,95.95,69.79,140.32,0.00,266.09
2024-01-26 02:45:00,214.21,47.75,80.34,112.25,1.18,234.27
2024-01-26 03:00:00,199.40,12.16,77.12,113.94,0.00,226.99
2024-01-26 03:15:00,179.16,5.86,107.32,110.57,0.00,228.52
2024-01-26 03:30:00,147.44,1.80,134.00,185.22,0.00,214.33
2024-01-26 03:45:00,109.07,2.70,194.11,155.47,0.00,229.67
2024-01-26 04:00:00,91.54,2.25,219.62,145.37,0.00,250.76
2024-01-26 04:15:00,49.55,0.90,212.29,176.24,0.00,226.60
2024-01-26 04:30:00,76.74,0.00,169.77,199.81,0.00,190.56
2024-01-26 04:45:00,40.48,31.08,124.91,156.60,0.00,197.46
2024-01-26 05:00:00,32.03,53.60,93.83,124.04,0.00,246.92
2024-01-26 05:15:00,69.49,47.75,69.79,104.96,0.00,299.84
2024-01-26 05:30:00,293.66,47.75,96.18,110.01,0.00,320.92
2024-01-26 05:45:00,352.58,62.61,137.23,113.38,0.00,279.13
2024-01-26 06:00:00,387.62,72.97,105.85,142.56,0.00,382.27
2024-01-26 06:15:00,399.41,98.20,81.81,167.82,0.00,345.08
2024-01-26 06:30:00,377.35,98.65,73.01,157.16,0.00,236.95
2024-01-26 06:45:00,237.17,83.33,69.79,127.41,0.00,280.28
2024-01-26 07:00:00,152.57,78.83,54.54,57.25,0.00,225.45
2024-01-26 07:15:00,103.33,59.91,59.52,30.31,12.94,199.00
2024-01-26 07:30:00,135.96,42.79,60.40,28.62,20.00,340.48
2024-01-26 07:45:00,229.01,38.74,48.97,15.72,11.37,230.82
2024-01-26 08:00:00,341.70,13.06,36.07,18.52,0.00,264.18
2024-01-26 08:15:00,412.40,0.45,22.87,20.77,0.00,315.17
2024-01-26 08:30:00,285.20,0.00,20.23,7.30,0.00,69.02
2024-01-26 08:45:00,131.42,0.00,5.86,0.00,0.78,0.00
2024-01-26 09:00:00,196.98,0.45,0.00,44.90,3.53,28.37
2024-01-26 09:15:00,271.61,23.87,0.00,92.61,1.57,55.60
2024-01-26 09:30:00,238.07,9.91,0.00,145.37,0.00,6.90
2024-01-26 09:45:00,333.24,5.86,0.00,98.22,0.00,45.63
2024-01-26 10:00:00,480.68,8.11,0.00,83.63,0.00,353.90
2024-01-26 10:15:00,522.67,16.22,0.00,85.31,0.00,513.79
2024-01-26 10:30:00,381.28,18.47,0.00,56.13,0.00,416.40
2024-01-26 10:45:00,191.55,31.98,0.00,135.27,0.00,717.00
2024-01-26 11:00:00,55.89,39.64,3.52,140.88,0.00,291.02
2024-01-26 11:15:00,29.91,42.79,0.00,164.45,0.39,74.77
2024-01-26 11:30:00,64.65,50.90,0.00,153.23,11.77,0.00
2024-01-26 11:45:00,67.68,67.12,0.00,109.45,36.48,0.00
2024-01-26 12:00:00,11.48,68.02,0.00,127.41,26.67,0.00
2024-01-26 12:15:00,0.30,71.17,0.00,107.76,25.49,0.00
2024-01-26 12:30:00,9.06,93.69,0.00,102.15,14.90,0.00
2024-01-26 12:45:00,26.59,103.60,0.00,80.82,26.28,0.00
2024-01-26 13:00:00,48.94,117.12,0.00,51.64,13.34,0.00
2024-01-26 13:15:00,122.96,136.94,0.00,21.89,9.02,2.68
2024-01-26 13:30:00,164.66,191.44,7.04,12.91,13.34,33.74
2024-01-26 13:45:00,134.44,256.31,15.25,8.42,21.96,271.08
2024-01-26 14:00:00,147.44,286.04,23.75,0.00,6.28,467.39
2024-01-26 14:15:00,167.38,344.14,7.92,0.00,14.90,578.20
2024-01-26 14:30:00,180.37,358.11,1.47,0.00,13.73,255.36
2024-01-26 14:45:00,158.61,336.04,0.00,0.00,30.98,61.35
2024-01-26 15:00:00,124.78,304.50,0.00,0.00,101.97,38.34
2024-01-26 15:15:00,121.45,315.77,0.00,0.00,95.31,71.32
2024-01-26 15:30:00,126.59,333.33,0.00,0.00,90.21,53.30
2024-01-26 15:45:00,120.55,349.55,22.28,0.00,125.90,51.00
2024-01-26 16:00:00,109.37,379.73,22.58,0.00,127.08,132.28
2024-01-26 16:15:00,121.76,427.48,31.37,0.00,191.40,138.80
2024-01-26 16:30:00,116.02,424.77,17.89,0.00,172.97,126.15
2024-01-26 16:45:00,119.94,400.45,19.94,0.00,161.98,60.20
2024-01-26 17:00:00,121.45,394.59,31.67,0.00,159.24,66.33
2024-01-26 17:15:00,74.02,383.33,42.52,0.00,164.34,141.10
2024-01-26 17:30:00,59.82,399.55,37.83,0.00,76.87,556.73
2024-01-26 17:45:00,54.38,423.87,33.13,0.00,88.25,416.78
2024-01-26 18:00:00,149.25,366.67,23.46,0.00,182.77,461.26
2024-01-26 18:15:00,239.28,255.41,40.46,0.00,182.38,164.49
2024-01-26 18:30:00,244.42,163.06,64.21,2.25,240.82,66.72
2024-01-26 18:45:00,195.78,141.89,44.57,25.82,239.64,55.98
2024-01-26 19:00:00,174.02,126.58,38.70,78.02,267.49,37.19
2024-01-26 19:15:00,278.26,133.33,19.94,130.22,214.93,45.63
2024-01-26 19:30:00,294.87,101.35,9.38,219.46,254.94,76.68
2024-01-26 19:45:00,277.95,81.08,55.71,190.27,174.93,141.10
2024-01-26 20:00:00,292.46,63.51,53.66,191.96,187.87,179.82
2024-01-26 20:15:00,274.03,107.21,43.40,172.31,130.61,227.75
2024-01-26 20:30:00,276.74,153.60,20.53,166.70,127.08,308.65
2024-01-26 20:45:00,239.28,145.05,8.80,213.85,117.27,298.69
2024-01-26 21:00:00,305.14,120.27,4.40,216.65,137.67,234.65
2024-01-26 21:15:00,309.37,112.61,2.64,328.35,121.59,204.36
2024-01-26 21:30:00,329.62,118.02,0.00,194.76,85.11,195.93
2024-01-26 21:45:00,351.97,117.57,46.04,187.47,59.22,218.55
2024-01-26 22:00:00,406.96,122.07,95.88,203.18,31.77,278.75
2024-01-26 22:15:00,416.93,122.97,128.14,175.68,23.92,346.61
2024-01-26 22:30:00,421.16,101.35,113.77,122.92,31.38,388.79
2024-01-26 22:45:00,421.76,80.18,98.52,111.13,18.04,317.86
2024-01-26 23:00:00,477.66,61.26,79.76,35.92,53.73,364.63
2024-01-26 23:15:00,418.44,89.64,56.30,14.59,49.03,307.50
2024-01-26 23:30:00,330.22,109.91,29.32,5.05,71.77,336.26
2024-01-26 23:45:00,292.15,155.86,12.32,10.66,39.61,376.14
2024-01-27 00:00:00,331.43,132.88,34.60,30.31,16.08,343.16
2024-01-27 00:15:00,388.53,96.40,68.91,42.66,11.77,348.91
2024-01-27 00:30:00,384.30,90.09,70.67,44.34,26.67,292.93
2024-01-27 00:45:00,329.92,83.78,46.04,47.71,79.62,332.43
2024-01-27 01:00:00,252.88,116.67,23.75,37.61,116.88,401.44
2024-01-27 01:15:00,286.41,155.86,29.03,34.80,120.80,409.88
2024-01-27 01:30:00,350.16,224.77,11.14,36.48,115.70,405.66
2024-01-27 01:45:00,261.34,188.29,16.42,44.34,122.76,421.00
2024-01-27 02:00:00,167.07,181.08,26.98,59.50,161.98,360.80
2024-01-27 02:15:00,119.34,150.45,33.72,192.52,265.13,411.41
2024-01-27 02:30:00,135.65,145.95,25.80,342.38,348.28,447.84
2024-01-27 02:45:00,185.81,183.78,81.22,357.53,383.97,399.53
2024-01-27 03:00:00,224.18,166.67,165.67,387.84,436.14,351.21
2024-01-27 03:15:00,181.58,175.68,195.58,395.14,415.74,296.00
2024-01-27 03:30:00,156.50,206.31,237.80,324.42,392.21,213.57
2024-01-27 03:45:00,172.21,246.40,254.51,410.85,359.66,189.41
2024-01-27 04:00:00,162.24,221.17,234.28,348.55,362.80,248.07
2024-01-27 04:15:00,184.30,208.11,168.89,354.73,339.26,340.86
2024-01-27 04:30:00,231.73,202.25,224.60,376.05,388.68,352.36
2024-01-27 04:45:00,225.99,195.50,123.44,331.15,392.21,241.56
2024-01-27 05:00:00,236.56,229.73,150.13,470.35,351.81,301.37
2024-01-27 05:15:00,229.92,170.27,140.45,582.60,409.08,299.07
2024-01-27 05:30:00,213.30,154.05,163.62,667.36,371.03,244.62
2024-01-27 05:45:00,224.18,140.99,141.92,638.73,285.53,205.13
2024-01-27 06:00:00,187.01,131.98,211.41,404.12,347.89,160.65
2024-01-27 06:15:00,155.29,113.51,289.41,418.71,364.76,132.28
2024-01-27 06:30:00,154.38,125.68,224.02,452.39,361.62,138.03
2024-01-27 06:45:00,176.44,119.82,244.25,478.21,344.75,187.88
2024-01-27 07:00:00,214.21,127.03,165.37,530.97,351.81,243.86
2024-01-27 07:15:00,225.08,109.46,103.21,549.49,348.28,234.65
2024-01-27 07:30:00,252.58,89.19,152.77,517.50,389.07,280.28
2024-01-27 07:45:00,297.29,91.89,331.63,523.11,363.97,268.40
2024-01-27 08:00:00,396.39,72.97,349.81,564.64,360.44,276.45
2024-01-27 08:15:00,402.43,61.71,388.81,518.06,387.90,261.49
2024-01-27 08:30:00,358.92,48.65,410.80,483.26,427.51,196.31
2024-01-27 08:45:00,274.63,45.50,433.08,506.27,453.79,197.85
2024-01-27 09:00:00,208.47,40.54,462.40,491.68,468.69,185.58
2024-01-27 09:15:00,185.50,29.73,441.00,537.14,477.71,139.18
2024-01-27 09:30:00,223.57,23.42,456.83,524.79,458.50,164.49
2024-01-27 09:45:00,220.55,15.32,461.23,539.95,472.61,235.04
2024-01-27 10:00:00,178.86,17.57,440.12,593.83,444.38,336.26
